hole_cards,community_cards,win_probability
TS 2C,QD 7D 3C 4D,0.134
QD 9S,7C QC JD AH,0.73
7H QS,TD 9D AS,0.367
AD TH,5C 2S 3H QD 4S,0.71
2S 3C,7H 9C 8D AS 2H,0.376
JC JD,KH JH 2H 8H,0.582
9D AS,TD JD JH 9H,0.632
QD 7S,2C 3H TH,0.335
AS QH,8S 2S TC 6D,0.428
4C 2D,2S 9S 3D,0.519
TS AS,4C TD AD 9S,0.942
JS 2D,6H JH 9S 3H,0.691
6S KH,2S KC TD,0.812
TH 7D,JS QH 2H AH,0.421
JD 5H,7D 9H TD QC 2D,0.12
AD KD,6H 7S 5H,0.402
TC KH,8H 2S 6H,0.451
2H TD,8S TH 7D,0.646
AS QC,2S 8S QD KS,0.825
TD 7C,3S AC KS,0.299
4C 5S,4S QH 2C 3D JH,0.588
QC 8C,KS 5S QH,0.727
TC 3D,3S 6S 2S,0.474
3D 8H,JD 7H JC AD QC,0.145
9C JC,KC 5S QS 4H,0.393
2C KC,4S 8C KH,0.824
7C KS,5S 7D 9C JD,0.602
KH 9C,QD JD 8S,0.48
9D 8C,6C 2C 3C,0.429
6C 4S,JS 4D QH 4C AD,0.93
7C JS,8H KD 5C 6D QS,0.234
JC QD,5D 8C 3D KC,0.364
QC AH,7H 5S 4S 7S,0.431
3D 7C,9H 6D TC,0.272
3H 2D,4S JC 4C 4D QH,0.0
AH QD,2S 2C 4S AD 6S,0.82
4D AC,9C 4H 6C KD 6D,0.626
AD KS,AC QD 7H,0.889
JH TH,TS 8S 2D,0.774
AD 8S,AH 9S JD TH,0.769
JH 2S,AH 5D 4C,0.359
5H 8S,KS KC 6D KH,0.199
JH 8C,5H 2H 4S,0.307
4D AC,AH 4S 3C TD 7C,0.94
6H 7H,TH 6S TD 6D,0.833
AS 5H,6S 6H KH,0.526
6C 3D,TD 8C KC 9S,0.117
8D 8S,6S 3C 7C 6D 2D,0.849
JH JC,8D JD 5S 4D 4H,0.999
AC 9H,JS 6C 3S AH,0.861
8C 9D,TD TS QD 3D,0.411
AD AH,9D TH TC QS 3H,0.87
KC 9H,JH 2H 7H,0.577
4C 6H,AS 2S TC KS,0.0758
9H JS,2H QS 5S,0.396
QD 8D,6D 9S 7C,0.509
QC 6H,8H 8S KC,0.404
5H TH,6S 6C 3H 7S 7H,0.206
JC 3S,JH 6H 5S,0.731
2H 5S,3D 9S 6H 7H 8C,0.71
3H TD,9S 4D 6C 4H QS,0.145
KS 3D,9S JH 9H KH TC,0.609
QC 5D,7D 9C 2S JC 3S,0.141
JS 6C,AS AD 3H,0.391
